Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Fature 7,Feature 8,Feature 9,Target
5660.39,5099.02,11766.1,5646.24,4919.35,0,1414.21,3452.54,-0.316306,0
17560.2,17646.5,20696.9,18487.8,14632.8,0,2433.1,4816.64,-0.787072,0
17401.1,17483.7,20678.5,18317.2,14598.6,0,2236.07,4686.15,-0.775052,0
17243,17321.7,20662,18147.2,14567.1,0,2039.61,4560.7,-0.735846,0
17085.7,17160.4,20647.5,17977.8,14538.2,0,1843.91,4440.72,-0.721065,0
12927.5,12840.6,19534.6,13296.6,12649.1,0,1077.03,2209.07,-0.339996,0
12814.1,12720.1,19400,13159,12536.3,0,1264.91,2009.98,-0.309338,0
12702.8,12587.3,19266.6,13023.1,12425.8,0,1414.21,1811.08,-0.278499,0
17840.4,17925.4,20916,18762.7,14866.1,0,2668.33,4808.33,-0.804967,0
17681.6,17762.9,20895.9,18592.5,14829.7,0,2473.86,4669.05,-0.794327,0
17523.7,17601.1,20877.7,18422.8,14795.9,0,2280.35,4534.31,-0.782644,0
17366.6,17440.2,20861.4,18253.8,14764.8,0,2088.06,4404.54,-0.742892,0
17210.5,17280,20847.1,18085.4,14736.3,0,1897.37,4280.19,-0.72774,0
17055.2,17120.7,20834.6,17917.6,14710.5,0,1708.8,4161.73,-0.690858,0
13206.1,13121,19817.2,13579.4,12927.5,0,824.621,2400,-0.392712,0
13092,13000,19682.5,13441.7,12814.1,0,1000,2200,-0.355009,0
12980,12870.1,19548.9,13305.6,12702.8,0,1131.37,2000,-0.324014,0
12870.1,12731.1,19416.5,13171.2,12587.3,0,1280.62,1800,-0.299423,0
12762.4,12593.6,19285.2,13038.4,12448.3,0,1442.22,1600,-0.273867,0
10113.4,9676.78,16191.4,10248.9,9482.62,0,1341.64,200,-0.308102,0
10031.9,9616.65,16105.9,10192.2,9391.49,0,1442.22,200,-0.345318,0
9953.89,9560.33,16022.5,10139,9303.76,0,1341.64,0,-0.369249,0
9879.27,9507.89,15941.1,10089.6,9219.54,0,1264.91,0,-0.386534,0
9808.16,9459.39,15861.9,10043.9,9138.93,0,1216.55,0,-0.393778,0
8820.43,7375.64,14601.4,8091.97,6489.99,0,3773.59,3959.8,-0.178455,0
8653.32,7224.96,14600,7939.77,6324.56,0,3944.62,3820.99,0.0483514,0
8487.64,7076.72,14601.4,7789.74,6161.17,0,4118.25,3676.96,0.213182,0
18120.7,18204.4,21136.7,19037.9,15101,0,2912.04,4816.64,-0.81973,0
17962.2,18042.2,21114.9,18868,15062.5,0,2720.29,4669.05,-0.810766,0
17804.5,17880.7,21095,18698.7,15026.6,0,2529.82,4525.48,-0.800584,0
17647.7,17720,21077,18530,14993.3,0,2340.94,4386.34,-0.789148,0
17491.7,17560.2,21060.9,18361.9,14962.6,0,2154.07,4252.06,-0.748802,0
17336.7,17401.1,21046.6,18194.5,14934.5,0,1969.77,4123.11,-0.733185,0
17182.5,17243,21034.3,18027.8,14909.1,0,1788.85,4000,-0.716501,0
17029.4,17085.7,21023.8,17861.7,14886.2,0,1612.45,3883.3,-0.676809,0
13484.8,13401.5,20099.8,13862.2,13206.1,0,600,2607.68,-0.443783,0
13370.1,13280.1,19965,13724.4,13092,0,721.11,2408.32,-0.398866,0
